zone,latitude,longitude
Manhattan Beach,40.578158,-73.9389213
Manhattan Valley,40.7966989,-73.9684247
Manhattanville,40.8169443,-73.9558333
Marble Hill,40.8761173,-73.9102628
Marine Park/Floyd Bennett Field,40.5945286,-73.8880351
Marine Park/Mill Basin,40.6055793,-73.9341972
Mariners Harbor,40.6336287,-74.156292
Maspeth,40.7294018,-73.9065883
Meatpacking/West Village West,40.7409865,-74.0076108
Melrose South,40.8209719,-73.9168766
Middle Village,40.717372,-73.87425
Midtown Center,42.36309,-83.074776
Midtown East,40.7571432,-73.9718815
Midtown North,40.7649516,-73.9851039
Midtown South,40.7521795,-73.9875438
Midwood,40.6204388,-73.9599778
Morningside Heights,40.8105443,-73.9620581
Morrisania/Melrose,40.824545,-73.9104143
Mott Haven/Port Morris,40.8022025,-73.9166051
Mount Hope,41.4513121,-74.5346103
Murray Hill,40.7478792,-73.9756567
Murray Hill-Queens,40.7478792,-73.9756567
New Dorp/Midland Beach,40.5739937,-74.1159755
North Corona,40.7543725,-73.8669188
Norwood,44.7514452,-74.9943641
Oakland Gardens,40.7408584,-73.758241
Oakwood,40.563994,-74.1159754
Ocean Hill,40.6782737,-73.9108212
Ocean Parkway South,40.612878,-73.9683862
Old Astoria,40.714269,-74.005973
Ozone Park,40.6806669,-73.844659
Park Slope,40.6710672,-73.9814228
Parkchester,40.8382522,-73.8566087
Pelham Bay,40.8438486,-73.8304179
Pelham Bay Park,40.8667516,-73.8101103
Pelham Parkway,40.8553279,-73.8639594
Penn Station/Madison Sq West,40.8355556,-73.8880556
Port Richmond,40.6339267,-74.1360652
Prospect-Lefferts Gardens,40.6592355,-73.9533895
Prospect Heights,40.6774196,-73.9668408
Prospect Park,40.6602037,-73.9689558
Queens Village,40.7282239,-73.7948516
Queensboro Hill,40.7445911,-73.8258135
Queensbridge/Ravenswood,40.7556711,-73.9456723
Randalls Island,40.7932271,-73.9212858
Red Hook,41.9950919,-73.8754114
Rego Park,40.7255722,-73.8624893
Richmond Hill,40.6999853,-73.8310309
Ridgewood,40.7043986,-73.9018292
Rikers Island,40.7931277,-73.88601
Riverdale/North Riverdale/Fieldston,40.90056,-73.90639
Rockaway Park,40.5797863,-73.8372237
Roosevelt Island,40.7605031,-73.9509934
Rosedale,40.6575584,-73.7330753
Rossville/Woodrow,40.5456634,-74.2163428
Saint Albans,40.6895283,-73.7643688
Saint George/New Brighton,40.6404369,-74.090226
Saint Michaels Cemetery/Woodside,40.7646761,-73.8985042
Schuylerville/Edgewater Park,43.100231,-73.581963
Seaport,40.7072263,-74.0027431
Sheepshead Bay,40.5953955,-73.9457538
